timestamp,total_workers,active_workers,queue_size,requests_per_second,avg_response_time,environment
2026-02-14T17:17:37.758265,3,3,0,0,0,stage
2026-02-14T17:17:42.643670,3,3,0,0,0,stage
2026-02-14T17:17:42.760019,3,3,0,0,0,stage
2026-02-14T17:17:47.646024,3,3,0,0,0,stage
2026-02-14T17:17:47.762307,3,3,0,0,0,stage
2026-02-14T17:17:52.648224,3,3,0,0,0,stage
2026-02-14T17:17:52.764646,3,3,0,0,0,stage
2026-02-14T17:17:57.650853,3,3,0,0,0,stage
2026-02-14T17:17:57.766604,3,3,0,0,0,stage
2026-02-14T17:18:02.654212,3,3,0,0,0,stage
2026-02-14T17:18:02.769357,3,3,0,0,0,stage
2026-02-14T17:18:07.656280,3,3,0,0,0,stage
2026-02-14T17:18:07.771842,3,3,0,0,0,stage
2026-02-14T17:18:12.658257,3,3,0,0,0,stage
2026-02-14T17:18:12.774071,3,3,0,0,0,stage
2026-02-14T17:18:17.660701,3,3,0,0,0,stage
2026-02-14T17:18:17.775776,3,3,0,0,0,stage
2026-02-14T17:18:22.662548,3,3,0,0,0,stage
2026-02-14T17:18:22.777288,3,3,0,0,0,stage
2026-02-14T17:18:27.665578,3,3,0,0,0,stage
2026-02-14T17:18:27.779016,3,3,0,0,0,stage
2026-02-14T17:18:32.667510,3,3,0,0,0,stage
2026-02-14T17:18:32.780220,3,3,0,0,0,stage
2026-02-14T17:18:37.670649,3,3,0,0,0,stage
2026-02-14T17:18:37.782639,3,3,0,0,0,stage
2026-02-14T17:18:42.672503,3,3,0,0,0,stage
2026-02-14T17:18:42.784219,3,3,0,0,0,stage
2026-02-14T17:18:47.674526,3,3,0,0,0,stage
2026-02-14T17:18:47.786745,3,3,0,0,0,stage
2026-02-14T17:18:52.676600,3,3,0,0,0,stage
2026-02-14T17:18:52.787729,3,3,0,0,0,stage
2026-02-14T17:18:57.679242,3,3,0,0,0,stage
2026-02-14T17:18:57.789291,3,3,0,0,0,stage
2026-02-14T17:19:02.680972,3,3,0,0,0,stage
2026-02-14T17:19:02.791179,3,3,0,0,0,stage
2026-02-14T17:19:07.683021,3,3,0,0,0,stage
2026-02-14T17:19:07.792837,3,3,0,0,0,stage
2026-02-14T17:19:12.685567,3,3,0,0,0,stage
2026-02-14T17:19:12.794877,3,3,0,0,0,stage
2026-02-14T17:19:17.687093,3,3,0,0,0,stage
2026-02-14T17:19:17.796880,3,3,0,0,0,stage
2026-02-14T17:19:22.689636,3,3,0,0,0,stage
2026-02-14T17:19:22.798505,3,3,0,0,0,stage
2026-02-14T17:19:27.692364,3,3,0,0,0,stage
2026-02-14T17:19:27.799772,3,3,0,0,0,stage
2026-02-14T17:19:32.693924,3,3,0,0,0,stage
2026-02-14T17:19:32.801413,3,3,0,0,0,stage
2026-02-14T17:19:37.695775,3,3,0,0,0,stage
2026-02-14T17:19:37.803619,3,3,0,0,0,stage
2026-02-14T17:19:42.701914,3,3,0,0,0,stage
2026-02-14T17:19:42.804946,3,3,0,0,0,stage
2026-02-14T17:19:47.704592,3,3,0,0,0,stage
2026-02-14T17:19:47.806499,3,3,0,0,0,stage
2026-02-14T17:19:52.706363,3,3,0,0,0,stage
2026-02-14T17:19:52.808142,3,3,0,0,0,stage
2026-02-14T17:19:57.708431,3,3,0,0,0,stage
2026-02-14T17:19:57.809818,3,3,0,0,0,stage
2026-02-14T17:20:02.711008,3,3,0,0,0,stage
2026-02-14T17:20:02.811495,3,3,0,0,0,stage
2026-02-14T17:20:07.712653,3,3,0,0,0,stage
2026-02-14T17:20:07.813476,3,3,0,0,0,stage
2026-02-14T17:20:12.715086,3,3,0,0,0,stage
2026-02-14T17:20:12.815156,3,3,0,0,0,stage
2026-02-14T17:20:17.718107,3,3,0,0,0,stage
2026-02-14T17:20:17.816661,3,3,0,0,0,stage
2026-02-14T17:20:18.840742,3,3,0,0,0,stage
2026-02-14T17:20:22.720436,3,3,0,0,0,stage
2026-02-14T17:20:22.817850,3,3,0,0,0,stage
2026-02-14T17:20:23.843294,3,3,0,0,0,stage
2026-02-14T17:20:27.722530,3,3,0,0,0,stage
2026-02-14T17:20:27.819608,3,3,0,0,0,stage
2026-02-14T17:20:28.845943,3,3,0,0,0,stage
2026-02-14T17:20:31.849601,3,3,0,0,0,stage
2026-02-14T17:20:32.724537,3,3,0,0,0,stage
2026-02-14T17:20:32.822132,3,3,0,0,0,stage
2026-02-14T17:20:33.847720,3,3,0,0,0,stage
2026-02-14T17:20:36.852066,3,3,0,0,0,stage
2026-02-14T17:20:37.727153,3,3,0,0,0,stage
2026-02-14T17:20:37.825477,3,3,0,0,0,stage
2026-02-14T17:20:38.851229,3,3,0,0,0,stage
2026-02-14T17:20:41.857518,3,3,0,0,0,stage
2026-02-14T17:20:42.730311,3,3,0,0,0,stage
2026-02-14T17:20:42.827604,3,3,0,0,0,stage
2026-02-14T17:20:43.854019,3,3,0,0,0,stage
2026-02-14T17:20:46.860450,3,3,0,0,0,stage
2026-02-14T17:20:47.732533,3,3,0,0,0,stage
2026-02-14T17:20:47.830049,3,3,0,0,0,stage
2026-02-14T17:20:48.856492,3,3,0,0,0,stage
2026-02-14T17:20:51.862965,3,3,0,0,0,stage
2026-02-14T17:20:52.734589,3,3,0,0,0,stage
2026-02-14T17:20:52.831897,3,3,0,0,0,stage
2026-02-14T17:20:53.858153,3,3,0,0,0,stage
2026-02-14T17:20:56.865732,3,3,0,0,0,stage
2026-02-14T17:20:57.737200,3,3,0,0,0,stage
2026-02-14T17:20:57.834246,3,3,0,0,0,stage
2026-02-14T17:20:58.860202,3,3,0,0,0,stage
2026-02-14T17:21:01.867845,3,3,0,0,0,stage
2026-02-14T17:21:02.739845,3,3,0,0,0,stage
2026-02-14T17:21:02.837156,3,3,0,0,0,stage
2026-02-14T17:21:03.862350,3,3,0,0,0,stage
2026-02-14T17:21:06.871578,3,3,0,0,0,stage
2026-02-14T17:21:07.743005,3,3,0,0,0,stage
2026-02-14T17:21:07.838890,3,3,0,0,0,stage
2026-02-14T17:21:08.865425,3,3,0,0,0,stage
2026-02-14T17:21:11.875234,3,3,0,0,0,stage
2026-02-14T17:21:12.745507,3,3,0,0,0,stage
2026-02-14T17:21:12.842063,3,3,0,0,0,stage
2026-02-14T17:21:13.867463,3,3,0,0,0,stage
2026-02-14T17:21:16.878202,3,3,0,0,0,stage
2026-02-14T17:21:17.747618,3,3,0,0,0,stage
2026-02-14T17:21:17.843778,3,3,0,0,0,stage
2026-02-14T17:21:18.870395,3,3,0,0,0,stage
2026-02-14T17:21:21.880099,3,3,0,0,0,stage
2026-02-14T17:21:22.750154,3,3,0,0,0,stage
2026-02-14T17:21:22.845198,3,3,0,0,0,stage
2026-02-14T17:21:23.873137,3,3,0,0,0,stage
2026-02-14T17:21:26.882218,3,3,0,0,0,stage
2026-02-14T17:21:27.752049,3,3,0,0,0,stage
2026-02-14T17:21:27.847491,3,3,0,0,0,stage
2026-02-14T17:21:28.875385,3,3,0,0,0,stage
2026-02-14T17:21:31.884153,3,3,0,0,0,stage
2026-02-14T17:21:32.753974,3,3,0,0,0,stage
2026-02-14T17:21:32.849296,3,3,0,0,0,stage
2026-02-14T17:21:33.877866,3,3,0,0,0,stage
2026-02-14T17:21:36.886313,3,3,0,0,0,stage
2026-02-14T17:21:37.756153,3,3,0,0,0,stage
2026-02-14T17:21:37.851262,3,3,0,0,0,stage
2026-02-14T17:21:38.880107,3,3,0,0,0,stage
2026-02-14T17:21:41.888721,3,3,0,0,0,stage
2026-02-14T17:21:42.758252,3,3,0,0,0,stage
2026-02-14T17:21:42.854693,3,3,0,0,0,stage
2026-02-14T17:21:43.881785,3,3,0,0,0,stage
2026-02-14T17:21:46.890529,3,3,0,0,0,stage
2026-02-14T17:21:47.760317,3,3,0,0,0,stage
2026-02-14T17:21:47.856056,3,3,0,0,0,stage
2026-02-14T17:21:48.883359,3,3,0,0,0,stage
2026-02-14T17:21:51.892528,3,3,0,0,0,stage
2026-02-14T17:21:52.762719,3,3,0,0,0,stage
2026-02-14T17:21:52.857615,3,3,0,0,0,stage
2026-02-14T17:21:53.885732,3,3,0,0,0,stage
2026-02-14T17:21:56.894732,3,3,0,0,0,stage
2026-02-14T17:21:57.764841,3,3,0,0,0,stage
2026-02-14T17:21:57.859629,3,3,0,0,0,stage
2026-02-14T17:21:58.888036,3,3,0,0,0,stage
2026-02-14T17:22:01.896229,3,3,0,0,0,stage
2026-02-14T17:22:02.766916,3,3,0,0,0,stage
2026-02-14T17:22:02.861110,3,3,0,0,0,stage
2026-02-14T17:22:03.890214,3,3,0,0,0,stage
2026-02-14T17:22:06.899095,3,3,0,0,0,stage
2026-02-14T17:22:07.768677,3,3,0,0,0,stage
2026-02-14T17:22:07.862967,3,3,0,0,0,stage
2026-02-14T17:22:08.893367,3,3,0,0,0,stage
2026-02-14T17:22:11.903042,3,3,0,0,0,stage
2026-02-14T17:22:12.770593,3,3,0,0,0,stage
2026-02-14T17:22:12.864995,3,3,0,0,0,stage
2026-02-14T17:22:13.896470,3,3,0,0,0,stage
2026-02-14T17:22:16.906327,3,3,0,0,0,stage
2026-02-14T17:22:17.773127,3,3,0,0,0,stage
2026-02-14T17:22:17.866669,3,3,0,0,0,stage
2026-02-14T17:22:18.898547,3,3,0,0,0,stage
2026-02-14T17:22:21.908528,3,3,0,0,0,stage
2026-02-14T17:22:22.774727,3,3,0,0,0,stage
2026-02-14T17:22:22.868051,3,3,0,0,0,stage
2026-02-14T17:22:23.900447,3,3,0,0,0,stage
2026-02-14T17:22:26.911514,3,3,0,0,0,stage
2026-02-14T17:22:27.777114,3,3,0,0,0,stage
2026-02-14T17:22:27.870343,3,3,0,0,0,stage
2026-02-14T17:22:28.902421,3,3,0,0,0,stage
2026-02-14T17:22:31.914162,3,3,0,0,0,stage
2026-02-14T17:22:32.779931,3,3,0,0,0,stage
2026-02-14T17:22:32.872675,3,3,0,0,0,stage
2026-02-14T17:22:33.904591,3,3,0,0,0,stage
2026-02-14T17:22:36.916563,3,3,0,0,0,stage
2026-02-14T17:22:37.782590,3,3,0,0,0,stage
2026-02-14T17:22:37.875266,3,3,0,0,0,stage
2026-02-14T17:22:38.907748,3,3,0,0,0,stage
2026-02-14T17:22:41.919505,3,3,0,0,0,stage
2026-02-14T17:22:42.784612,3,3,0,0,0,stage
2026-02-14T17:22:42.876921,3,3,0,0,0,stage
2026-02-14T17:22:43.909363,3,3,0,0,0,stage
2026-02-14T17:22:46.921895,3,3,0,0,0,stage
2026-02-14T17:22:47.786522,3,3,0,0,0,stage
2026-02-14T17:22:47.879167,3,3,0,0,0,stage
2026-02-14T17:22:48.911572,3,3,0,0,0,stage
2026-02-14T17:22:51.923819,3,3,0,0,0,stage
2026-02-14T17:22:52.788921,3,3,0,0,0,stage
2026-02-14T17:22:52.881880,3,3,0,0,0,stage
2026-02-14T17:22:53.918853,3,3,0,0,0,stage
2026-02-14T17:22:56.926303,3,3,0,0,0,stage
2026-02-14T17:22:57.791554,3,3,0,0,0,stage
2026-02-14T17:22:57.883767,3,3,0,0,0,stage
2026-02-14T17:22:58.920997,3,3,0,0,0,stage
2026-02-14T17:23:01.928782,3,3,0,0,0,stage
2026-02-14T17:23:02.793827,3,3,0,0,0,stage
2026-02-14T17:23:02.885725,3,3,0,0,0,stage
2026-02-14T17:23:03.923382,3,3,0,0,0,stage
2026-02-14T17:23:06.931036,3,3,0,0,0,stage
2026-02-14T17:23:07.796375,3,3,0,0,0,stage
2026-02-14T17:23:07.887821,3,3,0,0,0,stage
2026-02-14T17:23:08.925482,3,3,0,0,0,stage
2026-02-14T17:23:11.933703,3,3,0,0,0,stage
2026-02-14T17:23:12.798585,3,3,0,0,0,stage
2026-02-14T17:23:12.889907,3,3,0,0,0,stage
2026-02-14T17:23:13.927954,3,3,0,0,0,stage
2026-02-14T17:23:16.936492,3,3,0,0,0,stage
2026-02-14T17:23:17.800927,3,3,0,0,0,stage
